[2020-08-24 12:56:56.239] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json'
[2020-08-24 12:56:56.239] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/java/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/java/package.json'
[2020-08-24 12:56:56.239] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json'
[2020-08-24 12:56:56.240] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json'
[2020-08-24 12:56:56.240] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/log/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/log/package.json'
[2020-08-24 12:56:56.240] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json'
[2020-08-24 12:56:56.240] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/make/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/make/package.json'
[2020-08-24 12:56:56.240] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-tomorrow-night-blue/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-tomorrow-night-blue/package.json'
[2020-08-24 12:56:56.240] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-red/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-red/package.json'
[2020-08-24 12:56:56.240] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-abyss/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-abyss/package.json'
